Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
01.01.2019 00:00;01.01.2019 00:15;1.185,00;403,25;794,25;4.827,25;0,00;34,00;2.250,50;1.733,00;836,25;852,50;88,25;435,00
01.01.2019 00:15;01.01.2019 00:30;1.186,25;397,00;793,50;5.007,50;0,00;34,00;2.263,25;1.587,75;729,50;823,75;100,25;432,75
01.01.2019 00:30;01.01.2019 00:45;1.189,25;383,75;791,75;5.196,25;0,00;33,50;2.246,00;1.555,25;648,50;807,00;45,00;433,75
01.01.2019 00:45;01.01.2019 01:00;1.194,50;383,50;754,50;5.293,00;0,00;33,25;2.241,75;1.459,00;597,50;798,50;42,00;434,00
01.01.2019 01:00;01.01.2019 01:15;1.191,25;390,75;715,50;5.384,25;0,00;33,25;2.224,50;1.367,75;610,50;767,75;31,25;431,75
01.01.2019 01:15;01.01.2019 01:30;1.189,75;390,75;716,75;5.515,75;0,00;33,50;2.171,75;1.352,25;602,00;741,75;10,75;424,25
01.01.2019 01:30;01.01.2019 01:45;1.188,75;392,25;718,00;5.660,00;0,00;33,25;2.112,25;1.322,00;595,75;736,25;10,25;419,50
01.01.2019 01:45;01.01.2019 02:00;1.183,25;391,25;718,00;5.755,75;0,00;33,50;2.026,75;1.337,50;596,00;729,50;10,25;417,25
01.01.2019 02:00;01.01.2019 02:15;1.177,00;386,75;642,25;5.766,50;0,00;34,25;2.011,75;1.338,50;601,00;699,75;82,00;411,25
01.01.2019 02:15;01.01.2019 02:30;1.178,00;380,25;597,00;5.835,25;0,00;34,50;2.012,75;1.332,50;570,00;676,75;68,75;408,00
01.01.2019 02:30;01.01.2019 02:45;1.177,25;380,25;597,75;5.753,50;0,00;34,50;1.987,75;1.339,50;528,00;677,75;0,00;408,50
01.01.2019 02:45;01.01.2019 03:00;1.177,75;377,50;623,25;5.838,25;0,00;34,50;1.941,75;1.330,50;529,50;673,75;0,00;408,00
01.01.2019 03:00;01.01.2019 03:15;1.173,00;383,00;672,25;6.005,00;0,00;34,50;1.892,25;1.325,00;567,00;665,75;10,25;406,00
01.01.2019 03:15;01.01.2019 03:30;1.172,00;381,50;676,25;6.071,25;0,00;34,75;1.811,00;1.316,25;603,25;662,75;10,25;407,25
01.01.2019 03:30;01.01.2019 03:45;1.172,00;374,25;675,25;6.184,25;0,00;35,00;1.766,00;1.314,75;599,00;667,25;10,25;406,25
01.01.2019 03:45;01.01.2019 04:00;1.168,25;369,75;672,75;6.248,25;0,00;35,25;1.752,50;1.314,75;587,50;665,00;10,25;406,75
01.01.2019 04:00;01.01.2019 04:15;1.172,75;384,50;642,50;6.463,00;0,00;35,00;1.771,25;1.297,25;573,25;672,50;0,00;407,75
01.01.2019 04:15;01.01.2019 04:30;1.172,50;373,25;654,00;6.553,00;0,00;35,25;1.788,50;1.299,50;578,00;673,50;3,50;406,75
01.01.2019 04:30;01.01.2019 04:45;1.174,25;361,25;642,25;6.643,50;0,00;34,75;1.778,25;1.292,00;580,25;684,25;0,00;408,25
01.01.2019 04:45;01.01.2019 05:00;1.177,25;351,25;639,25;6.713,75;0,00;34,50;1.782,00;1.290,00;577,00;683,75;0,00;409,50
01.01.2019 05:00;01.01.2019 05:15;1.174,75;349,00;607,25;6.902,25;0,00;34,25;1.781,00;1.271,25;579,50;680,75;1,00;409,50
01.01.2019 05:15;01.01.2019 05:30;1.173,75;347,50;604,50;6.959,00;0,00;34,25;1.771,00;1.263,50;584,00;677,75;1,00;409,50
01.01.2019 05:30;01.01.2019 05:45;1.175,25;350,25;604,75;7.023,25;0,00;34,00;1.759,75;1.268,50;579,25;684,50;0,00;409,50
01.01.2019 05:45;01.01.2019 06:00;1.169,75;350,75;560,75;7.046,75;0,00;33,75;1.749,00;1.273,25;568,50;684,75;0,00;409,75
01.01.2019 06:00;01.01.2019 06:15;1.174,25;356,25;479,75;7.308,75;0,00;33,75;1.758,50;1.267,75;539,00;692,25;0,00;409,00
01.01.2019 06:15;01.01.2019 06:30;1.175,50;349,75;484,75;7.392,25;0,00;33,75;1.757,00;1.266,25;541,00;690,25;0,00;409,00
01.01.2019 06:30;01.01.2019 06:45;1.178,75;356,75;484,75;7.486,25;0,00;33,75;1.757,50;1.271,50;540,25;693,00;8,25;408,50
01.01.2019 06:45;01.01.2019 07:00;1.180,00;366,25;480,75;7.534,00;0,00;33,25;1.762,25;1.266,75;538,50;692,25;9,50;408,00
01.01.2019 07:00;01.01.2019 07:15;1.182,50;364,25;480,50;7.550,50;0,00;33,00;1.780,25;1.258,00;540,25;718,25;8,25;406,25
01.01.2019 07:15;01.01.2019 07:30;1.177,75;362,75;509,25;7.601,50;0,00;33,00;1.790,00;1.259,00;542,75;717,25;8,00;407,50
01.01.2019 07:30;01.01.2019 07:45;1.179,75;359,00;517,00;7.634,75;0,00;33,00;1.796,50;1.258,50;541,50;722,00;8,25;407,75
01.01.2019 07:45;01.01.2019 08:00;1.183,50;359,50;538,25;7.628,50;0,00;33,00;1.806,25;1.262,75;557,75;719,50;9,00;408,00
01.01.2019 08:00;01.01.2019 08:15;1.187,75;357,00;552,00;7.713,75;2,00;32,75;1.790,25;1.237,00;572,25;726,25;8,25;406,50
01.01.2019 08:15;01.01.2019 08:30;1.188,75;358,75;552,75;7.737,75;9,00;32,50;1.796,00;1.225,25;569,00;727,75;8,25;406,50
01.01.2019 08:30;01.01.2019 08:45;1.187,50;368,75;571,00;7.734,50;24,50;32,50;1.792,50;1.225,50;561,50;729,00;8,75;402,25
01.01.2019 08:45;01.01.2019 09:00;1.190,75;383,75;528,00;7.801,25;48,50;32,50;1.776,75;1.231,00;564,75;730,25;9,00;403,50
01.01.2019 09:00;01.01.2019 09:15;1.181,00;368,00;524,50;7.773,75;78,50;32,00;1.742,75;1.233,25;602,00;731,00;8,50;407,00
01.01.2019 09:15;01.01.2019 09:30;1.181,00;373,50;506,75;7.755,25;116,50;32,50;1.744,50;1.229,25;669,50;729,00;8,25;407,75
01.01.2019 09:30;01.01.2019 09:45;1.192,25;381,00;519,25;7.653,75;167,25;32,75;1.762,50;1.232,50;685,00;730,00;8,50;408,00
01.01.2019 09:45;01.01.2019 10:00;1.197,00;383,00;525,00;7.735,50;216,00;32,25;1.740,25;1.233,25;685,75;729,00;8,75;407,50
01.01.2019 10:00;01.01.2019 10:15;1.198,50;383,00;536,75;7.827,00;268,75;32,25;1.698,75;1.239,25;680,00;728,25;8,75;407,00
01.01.2019 10:15;01.01.2019 10:30;1.200,00;397,75;543,75;7.879,00;313,75;32,25;1.668,75;1.239,50;671,50;733,00;8,75;407,00
01.01.2019 10:30;01.01.2019 10:45;1.202,00;390,25;536,00;7.971,00;354,25;32,25;1.638,75;1.238,00;675,00;737,50;9,00;407,50
01.01.2019 10:45;01.01.2019 11:00;1.199,25;386,25;542,50;8.047,50;401,00;32,00;1.633,50;1.232,25;670,00;738,75;22,75;407,25
01.01.2019 11:00;01.01.2019 11:15;1.194,00;391,25;656,00;8.166,75;437,25;31,75;1.656,75;1.228,25;676,25;755,50;13,50;407,25
01.01.2019 11:15;01.01.2019 11:30;1.191,50;398,50;693,50;8.226,50;493,25;32,00;1.674,00;1.228,50;687,25;756,25;9,75;407,75
01.01.2019 11:30;01.01.2019 11:45;1.196,50;401,50;688,50;8.308,00;530,75;32,75;1.675,25;1.228,75;695,75;758,75;9,75;408,00
01.01.2019 11:45;01.01.2019 12:00;1.196,75;404,00;685,50;8.362,50;537,00;32,75;1.702,50;1.233,25;702,00;756,75;21,00;407,50
01.01.2019 12:00;01.01.2019 12:15;1.194,00;407,75;685,25;8.356,25;554,75;32,75;1.732,00;1.236,25;692,75;751,25;9,00;407,75
01.01.2019 12:15;01.01.2019 12:30;1.195,50;410,75;632,00;8.367,75;553,75;32,75;1.737,75;1.240,00;706,25;753,25;24,25;407,75
01.01.2019 12:30;01.01.2019 12:45;1.190,75;408,00;620,50;8.426,75;542,75;32,50;1.740,75;1.236,75;706,00;757,00;8,75;408,00
01.01.2019 12:45;01.01.2019 13:00;1.191,50;389,50;583,50;8.474,75;529,25;32,50;1.743,75;1.233,25;703,75;752,50;8,75;407,75
01.01.2019 13:00;01.01.2019 13:15;1.188,50;396,25;571,50;8.528,50;505,75;32,75;1.744,25;1.246,75;706,50;736,25;99,75;407,25
01.01.2019 13:15;01.01.2019 13:30;1.188,50;395,50;574,50;8.556,00;508,00;32,75;1.738,50;1.238,00;705,00;728,75;69,25;408,50
01.01.2019 13:30;01.01.2019 13:45;1.185,75;398,75;567,25;8.589,50;482,50;32,75;1.734,25;1.236,25;700,00;734,75;30,50;407,25
01.01.2019 13:45;01.01.2019 14:00;1.184,00;397,25;573,75;8.666,00;433,75;32,75;1.735,75;1.232,75;700,00;729,25;33,00;407,00
01.01.2019 14:00;01.01.2019 14:15;1.182,25;398,25;570,00;8.676,25;384,50;32,50;1.736,75;1.232,50;699,25;733,25;60,25;408,00
01.01.2019 14:15;01.01.2019 14:30;1.183,25;401,75;565,50;8.662,00;332,00;32,75;1.748,50;1.240,00;703,25;729,50;47,25;408,00
